City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
喀什地区,500,211,871,0.5,11,111,110,6
克州,234,90,373,0.2,1,109,101,10
和田地区,205,154,342,0.1,9,89,85,14
太仓,142,44,71,0.75,37,155,205,17
中山,137,37,43,0.68,17,115,199,7
中卫,130,98,76,0.53,14,144,143,8
石嘴山,121,37,162,0.53,22,196,181,17
孝感,121,26,50,0.85,10,187,182,11
江门,121,37,70,0.83,20,127,181,6
上海,120,37,93,0.68,46,169,180,11
